Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
VDAC3,2.37E-03,3.17E-02,7.86E-01,-1.27E+00,1.06E+02,1.35E+02
KATNAL2,1.59E-01,4.53E-01,7.86E-01,-1.27E+00,3.52E+00,4.48E+00
CARM1,1.29E-02,1.00E-01,7.85E-01,-1.27E+00,6.88E+01,8.76E+01
WDR82,4.74E-03,5.15E-02,7.85E-01,-1.27E+00,6.51E+01,8.29E+01
SLC31A1,3.58E-03,4.25E-02,7.85E-01,-1.27E+00,2.93E+01,3.74E+01
GPX4,3.20E-02,1.78E-01,7.85E-01,-1.27E+00,3.22E+01,4.10E+01
HTR7P1,9.30E-01,9.79E-01,7.85E-01,-1.27E+00,9.27E-01,1.18E+00
KDM4B,2.79E-02,1.64E-01,7.85E-01,-1.27E+00,1.16E+01,1.47E+01
TLE1,1.09E-02,8.90E-02,7.85E-01,-1.27E+00,4.02E+01,5.12E+01
HNRNPF,7.01E-01,8.90E-01,7.85E-01,-1.27E+00,8.94E+01,1.14E+02
RBM15,3.23E-02,1.79E-01,7.85E-01,-1.27E+00,1.27E+01,1.62E+01
SAP30,7.27E-02,2.94E-01,7.85E-01,-1.27E+00,1.30E+01,1.66E+01
TMEM116,2.51E-01,5.73E-01,7.85E-01,-1.27E+00,1.78E+00,2.26E+00
TMEM191A,4.00E-01,7.19E-01,7.84E-01,-1.27E+00,2.16E+00,2.75E+00
SUPT3H,1.99E-01,5.11E-01,7.84E-01,-1.27E+00,3.83E+00,4.88E+00
MRPL41,4.32E-03,4.85E-02,7.84E-01,-1.27E+00,6.47E+01,8.25E+01
DHRS4L2,2.27E-01,5.45E-01,7.84E-01,-1.28E+00,1.01E+01,1.29E+01
PLEKHG4,1.16E-01,3.83E-01,7.84E-01,-1.28E+00,5.99E+00,7.64E+00
COQ4,1.35E-01,4.16E-01,7.84E-01,-1.28E+00,2.07E+01,2.64E+01
KMT5A,1.51E-02,1.11E-01,7.84E-01,-1.28E+00,4.41E+01,5.62E+01
ZNF367,4.73E-01,7.69E-01,7.84E-01,-1.28E+00,7.71E+00,9.84E+00
TNPO2,4.15E-02,2.09E-01,7.84E-01,-1.28E+00,4.52E+01,5.77E+01
COG3,5.34E-01,8.08E-01,7.84E-01,-1.28E+00,1.98E+00,2.52E+00
XRRA1,9.88E-02,3.51E-01,7.84E-01,-1.28E+00,6.36E+00,8.11E+00
GCNT3,6.93E-02,2.86E-01,7.84E-01,-1.28E+00,5.39E+01,6.87E+01
SUPT16HP1,4.00E-02,2.04E-01,7.84E-01,-1.28E+00,5.22E+01,6.67E+01
XPC,5.35E-04,1.13E-02,7.84E-01,-1.28E+00,3.91E+01,4.99E+01
SNAI3-AS1,3.28E-01,6.57E-01,7.83E-01,-1.28E+00,2.03E+00,2.59E+00
SMYD2,1.90E-01,5.00E-01,7.83E-01,-1.28E+00,1.26E+01,1.61E+01
PIH1D1,4.16E-03,4.72E-02,7.83E-01,-1.28E+00,3.18E+01,4.06E+01
SQLE,8.31E-03,7.50E-02,7.83E-01,-1.28E+00,7.42E+01,9.48E+01
ZNF549,4.08E-01,7.25E-01,7.83E-01,-1.28E+00,1.43E+00,1.83E+00
EMD,4.02E-03,4.61E-02,7.83E-01,-1.28E+00,5.89E+01,7.52E+01
PSAT1,2.14E-01,5.29E-01,7.83E-01,-1.28E+00,6.89E+01,8.81E+01
CCDC9B,2.10E-01,5.25E-01,7.83E-01,-1.28E+00,6.42E+00,8.21E+00
LIMK1,8.62E-02,3.25E-01,7.82E-01,-1.28E+00,1.52E+01,1.94E+01
RBM38,2.33E-01,5.52E-01,7.82E-01,-1.28E+00,9.14E+00,1.17E+01
IQGAP3,7.87E-02,3.09E-01,7.82E-01,-1.28E+00,1.70E+01,2.17E+01
ELMO2,5.83E-02,2.61E-01,7.82E-01,-1.28E+00,8.08E+00,1.03E+01
LRRC8E,2.48E-01,5.71E-01,7.82E-01,-1.28E+00,5.60E+00,7.16E+00
AL163051.1,4.64E-01,7.64E-01,7.82E-01,-1.28E+00,1.84E+00,2.35E+00
NGDN,2.82E-01,6.08E-01,7.82E-01,-1.28E+00,3.78E+01,4.84E+01
PPP1R10,4.88E-02,2.32E-01,7.82E-01,-1.28E+00,1.12E+02,1.43E+02
SLC35B3,4.23E-01,7.36E-01,7.82E-01,-1.28E+00,5.36E+00,6.86E+00
BAHD1,5.83E-01,8.36E-01,7.82E-01,-1.28E+00,3.38E+00,4.32E+00
RNF168,1.38E-02,1.05E-01,7.82E-01,-1.28E+00,1.54E+01,1.97E+01
RBM6,1.27E-02,9.95E-02,7.82E-01,-1.28E+00,2.31E+01,2.96E+01
ELOB,5.91E-03,5.98E-02,7.82E-01,-1.28E+00,1.15E+02,1.47E+02
PLEKHA6,3.20E-01,6.49E-01,7.82E-01,-1.28E+00,1.57E+01,2.01E+01
RPS27AP12,3.41E-01,6.68E-01,7.82E-01,-1.28E+00,4.68E+00,5.99E+00
RPS23P8,1.25E-01,3.99E-01,7.82E-01,-1.28E+00,5.46E+02,6.99E+02
ZNF585A,3.99E-01,7.18E-01,7.82E-01,-1.28E+00,3.72E+00,4.76E+00
BMI1,1.46E-02,1.09E-01,7.81E-01,-1.28E+00,3.07E+01,3.93E+01
PIPSL,4.60E-01,7.62E-01,7.81E-01,-1.28E+00,1.48E+00,1.90E+00
CLIP2,4.10E-01,7.26E-01,7.81E-01,-1.28E+00,5.42E+00,6.93E+00
CRTC1,3.67E-01,6.92E-01,7.81E-01,-1.28E+00,3.69E+00,4.73E+00
HECTD4,5.20E-02,2.42E-01,7.81E-01,-1.28E+00,1.03E+01,1.32E+01
CEP131,3.74E-01,6.97E-01,7.81E-01,-1.28E+00,5.02E+00,6.42E+00
NME2P1,5.03E-01,7.87E-01,7.81E-01,-1.28E+00,2.20E+01,2.81E+01
GEMIN4,3.98E-02,2.03E-01,7.81E-01,-1.28E+00,3.33E+01,4.26E+01
USF2,1.56E-02,1.13E-01,7.81E-01,-1.28E+00,8.03E+01,1.03E+02
MRRF,9.16E-03,7.95E-02,7.81E-01,-1.28E+00,2.36E+01,3.02E+01
ZBED5-AS1,6.60E-01,8.69E-01,7.81E-01,-1.28E+00,4.09E+00,5.23E+00
CEP57L1,1.20E-01,3.91E-01,7.81E-01,-1.28E+00,6.87E+00,8.79E+00
CTGF,3.70E-01,6.95E-01,7.81E-01,-1.28E+00,5.67E+00,7.26E+00
PIK3CD,7.00E-02,2.87E-01,7.80E-01,-1.28E+00,6.13E+00,7.85E+00
CENPI,6.86E-02,2.84E-01,7.80E-01,-1.28E+00,1.74E+01,2.23E+01
PEX10,1.59E-02,1.15E-01,7.80E-01,-1.28E+00,1.50E+01,1.92E+01
ZFP14,2.15E-01,5.31E-01,7.80E-01,-1.28E+00,5.62E+00,7.21E+00
AC008915.2,2.66E-01,5.91E-01,7.80E-01,-1.28E+00,4.32E+00,5.54E+00
HMGCR,4.25E-01,7.38E-01,7.80E-01,-1.28E+00,1.69E+01,2.17E+01
HELZ2,5.39E-01,8.12E-01,7.80E-01,-1.28E+00,3.05E+00,3.91E+00
ZNF787,7.70E-02,3.05E-01,7.80E-01,-1.28E+00,2.28E+01,2.92E+01
CAMLG,6.33E-03,6.31E-02,7.80E-01,-1.28E+00,4.20E+01,5.39E+01
GRHPR,1.06E-01,3.66E-01,7.80E-01,-1.28E+00,4.09E+01,5.25E+01
GNB2,6.22E-01,8.54E-01,7.80E-01,-1.28E+00,8.65E+00,1.11E+01
DDX39A,5.87E-02,2.61E-01,7.80E-01,-1.28E+00,5.23E+01,6.71E+01
PIGW,1.98E-01,5.10E-01,7.80E-01,-1.28E+00,1.95E+01,2.50E+01
HAUS8,8.79E-02,3.29E-01,7.80E-01,-1.28E+00,1.11E+01,1.43E+01
AC025171.1,1.63E-01,4.59E-01,7.80E-01,-1.28E+00,3.34E+00,4.29E+00
RHOG,6.42E-02,2.75E-01,7.79E-01,-1.28E+00,4.55E+01,5.84E+01
LBX2-AS1,9.72E-01,9.92E-01,7.79E-01,-1.28E+00,1.60E+00,2.06E+00
PSMG3,4.30E-02,2.14E-01,7.79E-01,-1.28E+00,7.38E+01,9.47E+01
SH3BP1,2.65E-01,5.89E-01,7.79E-01,-1.28E+00,2.68E+00,3.44E+00
PYGO1,9.70E-02,3.47E-01,7.79E-01,-1.28E+00,9.04E+00,1.16E+01
NRF1,1.39E-01,4.22E-01,7.79E-01,-1.28E+00,6.84E+00,8.79E+00
CNDP2,1.88E-02,1.28E-01,7.79E-01,-1.28E+00,3.51E+01,4.51E+01
OGFR,3.65E-02,1.92E-01,7.79E-01,-1.28E+00,1.85E+01,2.37E+01
AC074043.1,3.22E-01,6.51E-01,7.79E-01,-1.28E+00,2.13E+00,2.74E+00
CAPN15,1.83E-02,1.26E-01,7.78E-01,-1.28E+00,2.30E+01,2.95E+01
RBMXL1,1.08E-01,3.68E-01,7.78E-01,-1.28E+00,1.10E+01,1.41E+01
SOCS3,5.37E-01,8.10E-01,7.78E-01,-1.29E+00,6.10E+00,7.84E+00
PIK3R3,1.08E-01,3.68E-01,7.78E-01,-1.29E+00,3.82E+00,4.91E+00
ETV5,2.19E-01,5.35E-01,7.78E-01,-1.29E+00,2.70E+01,3.47E+01
KRBA1,4.28E-01,7.40E-01,7.78E-01,-1.29E+00,1.52E+00,1.95E+00
PANK3,2.10E-02,1.38E-01,7.78E-01,-1.29E+00,3.71E+01,4.78E+01
TTBK2,1.27E-01,4.04E-01,7.78E-01,-1.29E+00,6.33E+00,8.15E+00
TSC22D3,2.67E-01,5.92E-01,7.78E-01,-1.29E+00,8.36E+00,1.07E+01
ARAP1,3.91E-01,7.13E-01,7.78E-01,-1.29E+00,7.50E+00,9.65E+00
TUBB,3.62E-03,4.28E-02,7.78E-01,-1.29E+00,1.01E+03,1.30E+03
WWOX,2.80E-01,6.06E-01,7.77E-01,-1.29E+00,7.69E+00,9.89E+00
ATG13,6.69E-02,2.82E-01,7.77E-01,-1.29E+00,1.36E+01,1.76E+01
DNAAF5,2.04E-01,5.17E-01,7.77E-01,-1.29E+00,2.64E+01,3.40E+01
PRAME,8.26E-01,9.39E-01,7.77E-01,-1.29E+00,6.97E+01,8.97E+01
ZNF707,4.55E-01,7.59E-01,7.77E-01,-1.29E+00,2.04E+00,2.63E+00
BRD1,5.15E-02,2.41E-01,7.77E-01,-1.29E+00,7.30E+00,9.40E+00
NINL,8.68E-01,9.55E-01,7.77E-01,-1.29E+00,9.22E+00,1.19E+01
MARS2,6.37E-01,8.59E-01,7.77E-01,-1.29E+00,1.52E+00,1.95E+00
ZDHHC3,2.33E-02,1.46E-01,7.77E-01,-1.29E+00,3.31E+01,4.27E+01
PPP1R12C,1.33E-01,4.13E-01,7.77E-01,-1.29E+00,1.52E+01,1.96E+01
PPIF,2.65E-01,5.89E-01,7.77E-01,-1.29E+00,4.18E+01,5.38E+01
PPIA,1.15E-02,9.29E-02,7.76E-01,-1.29E+00,1.28E+03,1.65E+03
ACBD4,1.36E-01,4.17E-01,7.76E-01,-1.29E+00,9.62E+00,1.24E+01
PNMA1,7.67E-01,9.17E-01,7.76E-01,-1.29E+00,5.70E+00,7.35E+00
RPL34P31,3.78E-01,7.01E-01,7.76E-01,-1.29E+00,1.31E+00,1.69E+00
CDC20,2.17E-02,1.40E-01,7.76E-01,-1.29E+00,5.10E+01,6.57E+01
MBD3,6.84E-02,2.84E-01,7.76E-01,-1.29E+00,2.01E+01,2.59E+01
AL132656.3,7.31E-01,9.02E-01,7.76E-01,-1.29E+00,1.23E+00,1.59E+00
CNOT10,1.29E-02,1.00E-01,7.76E-01,-1.29E+00,1.59E+01,2.04E+01
TRIM16L,1.71E-04,4.65E-03,7.76E-01,-1.29E+00,1.57E+02,2.03E+02
C16orf45,2.67E-02,1.59E-01,7.76E-01,-1.29E+00,1.71E+01,2.20E+01
UBALD1,1.06E-01,3.66E-01,7.75E-01,-1.29E+00,1.92E+01,2.48E+01
ZDHHC12,9.36E-02,3.41E-01,7.75E-01,-1.29E+00,1.42E+01,1.84E+01
AC125238.2,3.94E-01,7.15E-01,7.75E-01,-1.29E+00,1.81E+00,2.34E+00
RGL2,1.43E-01,4.30E-01,7.75E-01,-1.29E+00,4.14E+00,5.34E+00
AC106886.5,1.11E-01,3.75E-01,7.75E-01,-1.29E+00,7.63E+00,9.85E+00
SCARNA9,1.74E-02,1.22E-01,7.75E-01,-1.29E+00,3.68E+01,4.75E+01
VMA21,5.19E-02,2.42E-01,7.75E-01,-1.29E+00,6.56E+01,8.46E+01
AC100810.1,3.06E-01,6.35E-01,7.75E-01,-1.29E+00,8.05E+00,1.04E+01
NHSL2,4.11E-01,7.27E-01,7.75E-01,-1.29E+00,3.70E+00,4.78E+00
AP2A1,2.12E-01,5.27E-01,7.75E-01,-1.29E+00,6.53E+00,8.43E+00
HNRNPA1L2,4.26E-01,7.38E-01,7.75E-01,-1.29E+00,2.01E+00,2.59E+00
DVL3,1.92E-02,1.30E-01,7.75E-01,-1.29E+00,1.18E+01,1.52E+01
CCDC22,1.37E-01,4.19E-01,7.75E-01,-1.29E+00,5.90E+00,7.61E+00
PRDX5,1.76E-02,1.23E-01,7.74E-01,-1.29E+00,5.77E+01,7.45E+01
PRIMPOL,5.88E-01,8.40E-01,7.74E-01,-1.29E+00,3.11E+00,4.02E+00
ZBTB22,4.06E-01,7.24E-01,7.74E-01,-1.29E+00,1.60E+00,2.06E+00
EXOSC6,1.91E-03,2.73E-02,7.74E-01,-1.29E+00,6.38E+01,8.24E+01
HDGF,2.04E-04,5.38E-03,7.74E-01,-1.29E+00,3.45E+02,4.46E+02
ARFIP2,9.58E-02,3.44E-01,7.74E-01,-1.29E+00,1.41E+01,1.82E+01
FAM131A,1.96E-01,5.07E-01,7.74E-01,-1.29E+00,1.11E+00,1.43E+00
TPM1,1.60E-03,2.44E-02,7.74E-01,-1.29E+00,7.02E+02,9.06E+02
RPL27AP,1.63E-01,4.58E-01,7.74E-01,-1.29E+00,1.65E+01,2.14E+01
RHOT2,2.19E-02,1.41E-01,7.74E-01,-1.29E+00,3.46E+01,4.47E+01
PRKAR1A,9.10E-02,3.36E-01,7.74E-01,-1.29E+00,1.08E+02,1.40E+02
QDPR,5.65E-04,1.18E-02,7.74E-01,-1.29E+00,4.20E+01,5.43E+01
AL445183.3,3.71E-01,6.95E-01,7.74E-01,-1.29E+00,3.17E+00,4.10E+00
NAV2,8.87E-02,3.31E-01,7.74E-01,-1.29E+00,2.28E+01,2.94E+01
TRAM2,2.34E-02,1.47E-01,7.74E-01,-1.29E+00,1.66E+01,2.14E+01
GTF2IRD1,9.84E-02,3.50E-01,7.74E-01,-1.29E+00,9.21E+00,1.19E+01
PPP1R3E,2.04E-01,5.17E-01,7.74E-01,-1.29E+00,2.36E+00,3.06E+00
AP3M2,2.68E-02,1.60E-01,7.74E-01,-1.29E+00,2.11E+01,2.73E+01
MYH9,4.72E-04,1.03E-02,7.74E-01,-1.29E+00,1.92E+02,2.48E+02
TWIST1,1.06E-01,3.64E-01,7.74E-01,-1.29E+00,5.73E+00,7.41E+00
TCF7L1,3.51E-01,6.77E-01,7.73E-01,-1.29E+00,4.53E+00,5.85E+00
ECI1,1.18E-02,9.43E-02,7.73E-01,-1.29E+00,4.01E+01,5.18E+01
FASN,9.16E-04,1.65E-02,7.73E-01,-1.29E+00,1.63E+02,2.11E+02
NUCB1,1.14E-01,3.79E-01,7.73E-01,-1.29E+00,6.02E+01,7.79E+01
CHST11,9.05E-02,3.35E-01,7.73E-01,-1.29E+00,1.77E+01,2.29E+01
ERMARD,1.29E-01,4.06E-01,7.73E-01,-1.29E+00,3.75E+00,4.85E+00
COQ2,1.84E-01,4.92E-01,7.73E-01,-1.29E+00,2.71E+01,3.50E+01
CD276,5.84E-02,2.61E-01,7.73E-01,-1.29E+00,1.53E+01,1.99E+01
LINC00963,1.58E-02,1.14E-01,7.73E-01,-1.29E+00,1.33E+01,1.72E+01
KCTD21,5.99E-01,8.45E-01,7.73E-01,-1.29E+00,1.88E+00,2.44E+00
RPL6P27,2.79E-01,6.05E-01,7.72E-01,-1.29E+00,4.92E+02,6.36E+02
ANKMY1,5.56E-01,8.21E-01,7.72E-01,-1.29E+00,1.99E+00,2.58E+00
ALDH16A1,1.59E-02,1.15E-01,7.72E-01,-1.29E+00,1.58E+01,2.05E+01
NXPE3,5.41E-03,5.60E-02,7.72E-01,-1.29E+00,2.73E+01,3.54E+01
PRCP,2.15E-02,1.40E-01,7.72E-01,-1.30E+00,2.84E+01,3.68E+01
PHF8,1.51E-01,4.42E-01,7.72E-01,-1.30E+00,5.57E+00,7.21E+00
ZBTB8A,9.78E-02,3.49E-01,7.72E-01,-1.30E+00,8.74E+00,1.13E+01
PPP4C,1.10E-01,3.71E-01,7.72E-01,-1.30E+00,1.27E+00,1.65E+00
SLC39A13,1.33E-01,4.13E-01,7.72E-01,-1.30E+00,1.23E+01,1.59E+01
SSBP4,5.89E-02,2.62E-01,7.72E-01,-1.30E+00,1.26E+01,1.63E+01
ST3GAL4,4.12E-01,7.28E-01,7.72E-01,-1.30E+00,3.66E+00,4.74E+00
KLHL21,4.34E-02,2.15E-01,7.72E-01,-1.30E+00,6.74E+00,8.73E+00
DDX50P1,2.53E-01,5.75E-01,7.72E-01,-1.30E+00,2.46E+00,3.19E+00
ZNF19,4.80E-01,7.74E-01,7.71E-01,-1.30E+00,1.67E+00,2.16E+00
JUN,2.82E-03,3.56E-02,7.71E-01,-1.30E+00,3.41E+01,4.43E+01
ELP4,2.69E-01,5.94E-01,7.71E-01,-1.30E+00,5.55E+00,7.20E+00
RALGDS,1.69E-01,4.69E-01,7.71E-01,-1.30E+00,5.44E+00,7.05E+00
RPL7AP30,5.30E-01,8.06E-01,7.71E-01,-1.30E+00,1.71E+01,2.22E+01
PLIN3,1.69E-02,1.20E-01,7.71E-01,-1.30E+00,1.20E+02,1.56E+02
RIPOR1,3.11E-02,1.76E-01,7.71E-01,-1.30E+00,1.48E+01,1.92E+01
ZNF12,4.56E-02,2.22E-01,7.71E-01,-1.30E+00,9.68E+00,1.26E+01
G2E3,3.82E-03,4.45E-02,7.71E-01,-1.30E+00,2.99E+01,3.88E+01
STARD4,4.03E-02,2.05E-01,7.71E-01,-1.30E+00,7.66E+00,9.94E+00
PI4KA,9.75E-02,3.48E-01,7.71E-01,-1.30E+00,4.26E+00,5.53E+00
PKIG,6.91E-02,2.85E-01,7.71E-01,-1.30E+00,1.73E+01,2.24E+01
FSCN1,1.18E-03,1.97E-02,7.71E-01,-1.30E+00,1.59E+02,2.06E+02
STK17A,9.84E-02,3.50E-01,7.71E-01,-1.30E+00,2.25E+01,2.91E+01
TSEN15,3.53E-01,6.78E-01,7.70E-01,-1.30E+00,1.57E+01,2.04E+01
FZD3,7.12E-03,6.80E-02,7.70E-01,-1.30E+00,1.94E+01,2.51E+01
PRMT9,5.04E-01,7.88E-01,7.70E-01,-1.30E+00,1.35E+00,1.75E+00
ZSCAN26,2.83E-01,6.10E-01,7.70E-01,-1.30E+00,3.41E+00,4.43E+00
WDR81,1.03E-01,3.58E-01,7.70E-01,-1.30E+00,7.03E+00,9.12E+00
LRFN3,4.59E-01,7.62E-01,7.70E-01,-1.30E+00,9.39E+00,1.22E+01
MAX,1.68E-01,4.66E-01,7.70E-01,-1.30E+00,2.54E+01,3.30E+01
RPARP-AS1,1.88E-01,4.97E-01,7.70E-01,-1.30E+00,3.45E+00,4.48E+00
SNHG7,4.18E-01,7.32E-01,7.70E-01,-1.30E+00,2.24E+01,2.91E+01
BICD2,1.90E-03,2.72E-02,7.70E-01,-1.30E+00,4.67E+01,6.06E+01
FAM53C,3.50E-02,1.88E-01,7.70E-01,-1.30E+00,1.28E+01,1.67E+01
C3orf18,6.21E-01,8.53E-01,7.70E-01,-1.30E+00,1.23E+00,1.59E+00
AC024619.4,1.79E-01,4.84E-01,7.70E-01,-1.30E+00,7.00E+00,9.09E+00
AC024293.1,7.34E-02,2.95E-01,7.70E-01,-1.30E+00,2.33E+02,3.02E+02
MAP2K6,1.90E-01,5.00E-01,7.69E-01,-1.30E+00,1.97E+01,2.56E+01
ELOVL6,5.98E-03,6.03E-02,7.69E-01,-1.30E+00,4.27E+01,5.55E+01
DSN1,1.25E-01,4.00E-01,7.69E-01,-1.30E+00,3.88E+01,5.04E+01
CD99L2,9.53E-04,1.69E-02,7.69E-01,-1.30E+00,4.72E+01,6.14E+01
PPIAP22,5.79E-01,8.34E-01,7.69E-01,-1.30E+00,7.05E+00,9.17E+00
NASP,2.03E-04,5.38E-03,7.69E-01,-1.30E+00,1.55E+02,2.01E+02
HRAS,1.94E-02,1.31E-01,7.69E-01,-1.30E+00,3.23E+01,4.20E+01
CACNB1,3.82E-01,7.04E-01,7.69E-01,-1.30E+00,1.18E+00,1.54E+00
AC048341.1,2.82E-01,6.09E-01,7.69E-01,-1.30E+00,6.90E+00,8.97E+00
MAPK9,4.62E-02,2.24E-01,7.69E-01,-1.30E+00,1.24E+01,1.61E+01
PPP6C,3.00E-03,3.73E-02,7.69E-01,-1.30E+00,3.25E+01,4.23E+01
MRPL38,2.21E-02,1.41E-01,7.69E-01,-1.30E+00,2.82E+01,3.67E+01
MRPS31P5,3.84E-01,7.07E-01,7.68E-01,-1.30E+00,1.63E+00,2.12E+00
TRIM14,1.81E-02,1.25E-01,7.68E-01,-1.30E+00,3.48E+01,4.53E+01
EIF4A3,4.61E-01,7.63E-01,7.68E-01,-1.30E+00,4.86E+01,6.32E+01
EME1,1.70E-02,1.20E-01,7.68E-01,-1.30E+00,1.26E+01,1.64E+01
FBXW4,1.35E-01,4.16E-01,7.68E-01,-1.30E+00,1.14E+01,1.49E+01
KDM1A,1.91E-01,5.02E-01,7.68E-01,-1.30E+00,1.76E+01,2.29E+01
BTD,1.24E-01,3.98E-01,7.68E-01,-1.30E+00,7.43E+00,9.67E+00
ABHD4,3.13E-01,6.41E-01,7.68E-01,-1.30E+00,1.04E+01,1.36E+01
RRAS2,1.60E-02,1.15E-01,7.68E-01,-1.30E+00,1.46E+01,1.90E+01
NT5DC2,1.49E-01,4.39E-01,7.67E-01,-1.30E+00,1.39E+01,1.81E+01
LMNTD2,5.34E-01,8.08E-01,7.67E-01,-1.30E+00,1.12E+00,1.46E+00
PSMB1,5.46E-02,2.50E-01,7.67E-01,-1.30E+00,1.00E+02,1.30E+02
AC021078.1,1.79E-02,1.24E-01,7.67E-01,-1.30E+00,2.22E+01,2.90E+01
DCAF7,5.89E-03,5.97E-02,7.67E-01,-1.30E+00,1.70E+02,2.22E+02
ATP5MG,2.84E-02,1.65E-01,7.67E-01,-1.30E+00,2.56E+02,3.33E+02
CABLES1,6.49E-02,2.76E-01,7.67E-01,-1.30E+00,8.59E+00,1.12E+01
RELA,1.83E-02,1.26E-01,7.67E-01,-1.30E+00,4.37E+01,5.69E+01
HNRNPUL1,2.13E-03,2.94E-02,7.67E-01,-1.30E+00,2.76E+02,3.59E+02
RPL5P1,2.00E-01,5.13E-01,7.67E-01,-1.30E+00,2.22E+00,2.89E+00
ALG14,1.78E-01,4.83E-01,7.67E-01,-1.30E+00,5.07E+00,6.62E+00
MKS1,8.16E-02,3.15E-01,7.67E-01,-1.30E+00,6.44E+00,8.40E+00
GNAI2,2.80E-03,3.56E-02,7.67E-01,-1.30E+00,3.99E+01,5.21E+01
FOXRED1,6.84E-02,2.84E-01,7.67E-01,-1.30E+00,8.47E+00,1.10E+01
AC008026.2,2.99E-01,6.27E-01,7.67E-01,-1.30E+00,1.32E+01,1.72E+01
HEMK1,1.68E-01,4.67E-01,7.67E-01,-1.30E+00,3.95E+00,5.15E+00
NPEPL1,8.57E-02,3.24E-01,7.67E-01,-1.30E+00,1.03E+01,1.34E+01
LEMD2,1.06E-02,8.74E-02,7.67E-01,-1.30E+00,2.58E+01,3.37E+01
ARHGAP1,3.25E-03,3.94E-02,7.67E-01,-1.30E+00,3.55E+01,4.63E+01
SPSB1,1.05E-01,3.62E-01,7.66E-01,-1.30E+00,7.83E+00,1.02E+01
AC027612.3,1.33E-01,4.13E-01,7.66E-01,-1.30E+00,6.93E+00,9.05E+00
VAMP3,5.38E-03,5.57E-02,7.66E-01,-1.30E+00,3.43E+01,4.48E+01
RPL34P33,1.02E-01,3.57E-01,7.66E-01,-1.30E+00,1.38E+00,1.80E+00
NFE2L3,1.58E-01,4.53E-01,7.66E-01,-1.31E+00,8.02E+00,1.05E+01
SCAMP2,1.33E-02,1.03E-01,7.66E-01,-1.31E+00,4.25E+01,5.55E+01
MN1,3.51E-01,6.77E-01,7.66E-01,-1.31E+00,1.47E+00,1.93E+00
AAMP,5.66E-01,8.28E-01,7.66E-01,-1.31E+00,2.96E+01,3.86E+01
S100A13,8.28E-03,7.50E-02,7.66E-01,-1.31E+00,6.10E+01,7.97E+01
API5,1.61E-01,4.56E-01,7.66E-01,-1.31E+00,2.37E+01,3.10E+01
WTAP,3.18E-03,3.89E-02,7.65E-01,-1.31E+00,5.94E+01,7.76E+01
NAMPT,2.57E-01,5.80E-01,7.65E-01,-1.31E+00,2.17E+01,2.83E+01
UBE2I,2.17E-04,5.63E-03,7.65E-01,-1.31E+00,1.29E+02,1.68E+02
NFRKB,4.73E-02,2.27E-01,7.65E-01,-1.31E+00,1.01E+01,1.32E+01
SOX2,6.83E-02,2.84E-01,7.65E-01,-1.31E+00,2.97E+01,3.89E+01
LSM2,7.42E-03,6.99E-02,7.65E-01,-1.31E+00,3.39E+01,4.43E+01
RANBP17,3.40E-01,6.67E-01,7.65E-01,-1.31E+00,2.48E+00,3.25E+00
CEP170B,4.71E-03,5.13E-02,7.65E-01,-1.31E+00,2.86E+01,3.74E+01
ADNP2,3.37E-01,6.64E-01,7.64E-01,-1.31E+00,2.06E+01,2.69E+01
AP5B1,1.29E-01,4.07E-01,7.64E-01,-1.31E+00,9.03E+00,1.18E+01
SMC2,2.56E-03,3.35E-02,7.64E-01,-1.31E+00,1.82E+02,2.38E+02
FDFT1,1.33E-03,2.16E-02,7.64E-01,-1.31E+00,6.71E+01,8.78E+01
AC020688.1,1.52E-01,4.44E-01,7.64E-01,-1.31E+00,5.34E+00,6.98E+00
ARL4C,1.29E-02,1.00E-01,7.64E-01,-1.31E+00,2.38E+02,3.12E+02
SLC25A39,6.85E-02,2.84E-01,7.64E-01,-1.31E+00,7.26E+01,9.51E+01
OSR2,6.41E-01,8.61E-01,7.64E-01,-1.31E+00,1.95E+00,2.55E+00
USB1,1.86E-01,4.95E-01,7.64E-01,-1.31E+00,3.89E+01,5.09E+01
AC025159.1,2.88E-01,6.16E-01,7.64E-01,-1.31E+00,1.84E+00,2.41E+00
ACTB,8.60E-03,7.65E-02,7.64E-01,-1.31E+00,1.58E+03,2.06E+03
RPL10AP2,3.31E-01,6.60E-01,7.64E-01,-1.31E+00,2.86E+01,3.74E+01
ORAOV1,2.02E-01,5.15E-01,7.64E-01,-1.31E+00,8.54E+00,1.12E+01
STXBP5,2.96E-02,1.69E-01,7.64E-01,-1.31E+00,1.20E+01,1.57E+01
AC099522.2,4.90E-02,2.32E-01,7.64E-01,-1.31E+00,9.23E-01,1.21E+00
AC015689.2,4.86E-01,7.78E-01,7.64E-01,-1.31E+00,1.78E+00,2.33E+00
