Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
TGFBR3,7.75E-03,8.36E-02,6.68E-01,-1.50E+00,8.54E+00,1.28E+01,#NUM!
DNPH1,1.02E-03,2.04E-02,6.68E-01,-1.50E+00,5.67E+01,8.48E+01,#NUM!
ARHGEF40,1.30E-01,4.42E-01,6.68E-01,-1.50E+00,3.90E+00,5.84E+00,#NUM!
AC005363.1,3.27E-02,2.05E-01,6.68E-01,-1.50E+00,3.11E+00,4.66E+00,#NUM!
TMEM191A,1.60E-01,4.84E-01,6.68E-01,-1.50E+00,2.16E+00,3.24E+00,#NUM!
SURF6,2.18E-05,1.07E-03,6.67E-01,-1.50E+00,3.49E+01,5.24E+01,#NUM!
RPL35P5,6.71E-02,3.11E-01,6.67E-01,-1.50E+00,3.67E+01,5.50E+01,#NUM!
MED26,4.84E-03,6.05E-02,6.67E-01,-1.50E+00,4.58E+00,6.87E+00,#NUM!
LRRC8E,2.33E-02,1.66E-01,6.67E-01,-1.50E+00,5.60E+00,8.39E+00,#NUM!
ZNF502,3.00E-01,6.47E-01,6.67E-01,-1.50E+00,1.32E+00,1.98E+00,#NUM!
RPL17P36,1.12E-01,4.07E-01,6.66E-01,-1.50E+00,3.02E+00,4.54E+00,#NUM!
TAF9B,5.73E-02,2.86E-01,6.66E-01,-1.50E+00,8.66E+00,1.30E+01,#NUM!
MCTP1,7.15E-03,7.91E-02,6.66E-01,-1.50E+00,8.38E+00,1.26E+01,#NUM!
SNHG19,2.47E-05,1.19E-03,6.65E-01,-1.50E+00,5.63E+01,8.47E+01,#NUM!
SIX4,3.05E-01,6.53E-01,6.65E-01,-1.50E+00,1.74E+00,2.62E+00,#NUM!
AL157777.1,2.02E-01,5.44E-01,6.65E-01,-1.50E+00,3.41E+00,5.13E+00,#NUM!
ZNF519,1.30E-01,4.42E-01,6.65E-01,-1.50E+00,1.26E+00,1.90E+00,#NUM!
ORC1,2.09E-02,1.56E-01,6.65E-01,-1.50E+00,7.01E+00,1.05E+01,#NUM!
STARD4,3.89E-03,5.24E-02,6.64E-01,-1.50E+00,7.66E+00,1.15E+01,#NUM!
FOSL1,3.83E-02,2.25E-01,6.64E-01,-1.51E+00,8.10E+00,1.22E+01,#NUM!
BST1,3.31E-01,6.76E-01,6.64E-01,-1.51E+00,3.78E+00,5.69E+00,#NUM!
AL163051.1,1.84E-01,5.20E-01,6.64E-01,-1.51E+00,1.84E+00,2.77E+00,#NUM!
DAB2IP,7.45E-01,9.28E-01,6.64E-01,-1.51E+00,5.54E+00,8.35E+00,#NUM!
ZNF48,1.30E-03,2.40E-02,6.63E-01,-1.51E+00,1.05E+01,1.58E+01,#NUM!
ACADSB,3.12E-02,1.99E-01,6.63E-01,-1.51E+00,7.35E+00,1.11E+01,#NUM!
LINC00963,3.15E-04,8.40E-03,6.63E-01,-1.51E+00,1.33E+01,2.01E+01,#NUM!
B3GNT9,4.53E-01,7.71E-01,6.63E-01,-1.51E+00,1.40E+00,2.11E+00,#NUM!
AC138969.1,2.19E-02,1.59E-01,6.63E-01,-1.51E+00,6.56E+00,9.90E+00,#NUM!
TEX30,2.77E-01,6.28E-01,6.63E-01,-1.51E+00,4.57E+00,6.90E+00,#NUM!
ZNF195,8.31E-04,1.75E-02,6.62E-01,-1.51E+00,1.72E+01,2.59E+01,#NUM!
TBPL1,4.06E-01,7.40E-01,6.62E-01,-1.51E+00,5.84E+00,8.82E+00,#NUM!
TMEM64,1.58E-01,4.81E-01,6.62E-01,-1.51E+00,6.46E+00,9.75E+00,#NUM!
ZNF771,6.14E-02,2.98E-01,6.62E-01,-1.51E+00,3.79E+00,5.73E+00,#NUM!
KCNJ2,1.40E-01,4.56E-01,6.61E-01,-1.51E+00,1.49E+00,2.25E+00,#NUM!
PLEKHH3,4.43E-02,2.45E-01,6.61E-01,-1.51E+00,6.52E+00,9.86E+00,#NUM!
LRRC26,2.97E-01,6.45E-01,6.61E-01,-1.51E+00,1.12E+00,1.70E+00,#NUM!
NADK2,2.77E-02,1.85E-01,6.61E-01,-1.51E+00,6.24E+00,9.44E+00,#NUM!
AC108704.2,2.30E-01,5.76E-01,6.61E-01,-1.51E+00,1.80E+00,2.73E+00,#NUM!
MT-TK,1.08E-01,3.99E-01,6.61E-01,-1.51E+00,1.24E+01,1.87E+01,#NUM!
TERC,8.04E-01,9.46E-01,6.60E-01,-1.51E+00,9.09E+00,1.38E+01,#NUM!
SMIM19,9.80E-02,3.82E-01,6.60E-01,-1.51E+00,8.34E+00,1.26E+01,#NUM!
LDLRAD3,5.91E-03,6.92E-02,6.60E-01,-1.51E+00,1.19E+01,1.80E+01,#NUM!
C15orf48,7.03E-01,9.09E-01,6.60E-01,-1.51E+00,3.72E+00,5.64E+00,#NUM!
SLCO3A1,8.12E-01,9.50E-01,6.60E-01,-1.52E+00,3.02E+01,4.58E+01,#NUM!
ALG2,1.38E-02,1.21E-01,6.60E-01,-1.52E+00,1.82E+01,2.76E+01,#NUM!
TMEM121,6.90E-02,3.17E-01,6.60E-01,-1.52E+00,6.07E+00,9.20E+00,#NUM!
AC107954.1,1.40E-01,4.56E-01,6.59E-01,-1.52E+00,2.86E+00,4.34E+00,#NUM!
UNC119B,2.39E-02,1.68E-01,6.59E-01,-1.52E+00,6.84E+00,1.04E+01,#NUM!
C16orf45,8.43E-04,1.77E-02,6.59E-01,-1.52E+00,1.71E+01,2.59E+01,#NUM!
RABL2A,7.10E-02,3.22E-01,6.59E-01,-1.52E+00,3.88E+00,5.89E+00,#NUM!
ARNT2,3.21E-02,2.03E-01,6.58E-01,-1.52E+00,9.82E+00,1.49E+01,#NUM!
CUEDC2,1.94E-03,3.22E-02,6.58E-01,-1.52E+00,1.27E+01,1.92E+01,#NUM!
TXNRD2,1.61E-02,1.32E-01,6.58E-01,-1.52E+00,5.69E+00,8.64E+00,#NUM!
SNX30,8.66E-02,3.59E-01,6.58E-01,-1.52E+00,2.02E+00,3.06E+00,#NUM!
TENM3,7.44E-01,9.28E-01,6.58E-01,-1.52E+00,3.33E+01,5.06E+01,#NUM!
KLHL28,1.27E-02,1.15E-01,6.58E-01,-1.52E+00,4.50E+00,6.84E+00,#NUM!
TMEM68,7.41E-02,3.29E-01,6.58E-01,-1.52E+00,5.44E+00,8.28E+00,#NUM!
TGDS,1.27E-01,4.36E-01,6.58E-01,-1.52E+00,1.47E+00,2.23E+00,#NUM!
FAM216A,2.82E-02,1.87E-01,6.57E-01,-1.52E+00,3.03E+01,4.61E+01,#NUM!
ID3,1.75E-01,5.06E-01,6.57E-01,-1.52E+00,9.08E+01,1.38E+02,#NUM!
ENTR1,7.92E-04,1.69E-02,6.57E-01,-1.52E+00,2.22E+01,3.37E+01,#NUM!
TXNDC16,5.92E-02,2.91E-01,6.57E-01,-1.52E+00,1.52E+00,2.32E+00,#NUM!
MAP7,1.44E-02,1.24E-01,6.57E-01,-1.52E+00,8.42E+01,1.28E+02,#NUM!
AC124944.3,3.38E-01,6.84E-01,6.56E-01,-1.52E+00,1.72E+00,2.62E+00,#NUM!
TEX10,1.04E-02,1.00E-01,6.56E-01,-1.53E+00,1.62E+01,2.48E+01,#NUM!
IMPA2,2.64E-02,1.80E-01,6.55E-01,-1.53E+00,1.41E+01,2.16E+01,#NUM!
RETREG1,7.49E-01,9.29E-01,6.55E-01,-1.53E+00,3.86E+00,5.90E+00,#NUM!
ARPIN,2.28E-02,1.64E-01,6.55E-01,-1.53E+00,1.05E+01,1.60E+01,#NUM!
TMEM79,2.58E-01,6.08E-01,6.55E-01,-1.53E+00,1.85E+00,2.82E+00,#NUM!
NAB2,5.14E-02,2.68E-01,6.54E-01,-1.53E+00,2.04E+00,3.11E+00,#NUM!
TMEM106B,2.24E-03,3.56E-02,6.54E-01,-1.53E+00,3.98E+01,6.08E+01,#NUM!
AL031727.1,6.33E-02,3.02E-01,6.54E-01,-1.53E+00,3.55E+00,5.43E+00,#NUM!
SPATA24,3.65E-01,7.07E-01,6.54E-01,-1.53E+00,8.90E-01,1.36E+00,#NUM!
AC021074.1,4.39E-01,7.64E-01,6.54E-01,-1.53E+00,1.17E+00,1.80E+00,#NUM!
ZNF546,5.83E-02,2.88E-01,6.53E-01,-1.53E+00,3.34E+00,5.11E+00,#NUM!
SUSD1,5.00E-02,2.64E-01,6.53E-01,-1.53E+00,2.73E+00,4.18E+00,#NUM!
DDX50P1,8.95E-02,3.65E-01,6.53E-01,-1.53E+00,2.46E+00,3.76E+00,#NUM!
ZNF777,2.12E-02,1.57E-01,6.53E-01,-1.53E+00,6.08E+00,9.31E+00,#NUM!
TMEM62,6.59E-03,7.45E-02,6.53E-01,-1.53E+00,6.06E+00,9.28E+00,#NUM!
TXN,6.04E-03,7.03E-02,6.53E-01,-1.53E+00,1.97E+02,3.01E+02,#NUM!
SERTAD1,1.31E-02,1.17E-01,6.53E-01,-1.53E+00,7.39E+00,1.13E+01,#NUM!
C1QTNF6,7.80E-01,9.40E-01,6.52E-01,-1.53E+00,3.79E+00,5.81E+00,#NUM!
AP001505.1,3.10E-04,8.32E-03,6.52E-01,-1.53E+00,1.23E+01,1.88E+01,#NUM!
IL18BP,9.49E-02,3.77E-01,6.52E-01,-1.53E+00,1.36E+00,2.09E+00,#NUM!
BTBD19,4.87E-01,7.94E-01,6.52E-01,-1.53E+00,1.05E+00,1.60E+00,#NUM!
SLC26A2,6.42E-07,6.92E-05,6.52E-01,-1.53E+00,5.23E+01,8.03E+01,#NUM!
ZNF285,2.31E-01,5.77E-01,6.51E-01,-1.54E+00,1.08E+00,1.66E+00,#NUM!
PPP4C,8.52E-02,3.56E-01,6.51E-01,-1.54E+00,1.27E+00,1.96E+00,#NUM!
HSBP1L1,1.07E-01,3.98E-01,6.51E-01,-1.54E+00,6.00E+00,9.21E+00,#NUM!
CHST14,3.16E-01,6.63E-01,6.51E-01,-1.54E+00,2.58E+00,3.96E+00,#NUM!
RNU5F-1,8.72E-02,3.60E-01,6.51E-01,-1.54E+00,4.27E+00,6.57E+00,#NUM!
GPHN,6.46E-02,3.05E-01,6.50E-01,-1.54E+00,7.10E+00,1.09E+01,#NUM!
SMIM4,1.03E-02,9.99E-02,6.50E-01,-1.54E+00,2.37E+01,3.64E+01,#NUM!
FAM86C1,1.96E-02,1.49E-01,6.50E-01,-1.54E+00,5.61E+00,8.63E+00,#NUM!
GPR160,2.68E-01,6.17E-01,6.50E-01,-1.54E+00,1.65E+00,2.54E+00,#NUM!
ELAC1,2.99E-02,1.93E-01,6.50E-01,-1.54E+00,2.36E+00,3.64E+00,#NUM!
AC026401.3,3.24E-02,2.04E-01,6.50E-01,-1.54E+00,7.12E+00,1.10E+01,#NUM!
ZNF780B,7.92E-03,8.47E-02,6.50E-01,-1.54E+00,4.74E+00,7.30E+00,#NUM!
NUP188,3.03E-03,4.37E-02,6.49E-01,-1.54E+00,1.86E+01,2.86E+01,#NUM!
CYTH1,2.12E-02,1.57E-01,6.49E-01,-1.54E+00,8.72E+00,1.34E+01,#NUM!
TRABD2A,1.28E-01,4.38E-01,6.49E-01,-1.54E+00,1.29E+00,1.99E+00,#NUM!
DPP7,5.38E-02,2.76E-01,6.49E-01,-1.54E+00,7.10E+00,1.10E+01,#NUM!
HLA-C,5.97E-02,2.92E-01,6.48E-01,-1.54E+00,1.89E+00,2.92E+00,#NUM!
TFAP4,1.23E-02,1.12E-01,6.48E-01,-1.54E+00,9.01E+00,1.39E+01,#NUM!
SLC25A53,9.45E-02,3.76E-01,6.48E-01,-1.54E+00,1.37E+00,2.12E+00,#NUM!
MRPL36,1.09E-01,4.01E-01,6.47E-01,-1.55E+00,2.12E+01,3.28E+01,#NUM!
FBN1,4.95E-02,2.62E-01,6.47E-01,-1.55E+00,3.16E+00,4.88E+00,#NUM!
COL4A5,2.29E-02,1.65E-01,6.46E-01,-1.55E+00,2.34E+00,3.61E+00,#NUM!
SEMA3A,3.08E-05,1.41E-03,6.46E-01,-1.55E+00,4.77E+01,7.38E+01,#NUM!
PWWP2B,2.25E-02,1.63E-01,6.46E-01,-1.55E+00,1.03E+01,1.60E+01,#NUM!
OSBPL1A,5.70E-05,2.25E-03,6.46E-01,-1.55E+00,1.66E+01,2.57E+01,#NUM!
ALDH7A1,4.54E-04,1.12E-02,6.46E-01,-1.55E+00,3.13E+01,4.85E+01,#NUM!
RAC3,2.97E-02,1.93E-01,6.45E-01,-1.55E+00,1.27E+01,1.97E+01,#NUM!
SLC25A37,3.84E-06,2.86E-04,6.45E-01,-1.55E+00,5.48E+01,8.50E+01,#NUM!
CCDC106,4.10E-02,2.34E-01,6.45E-01,-1.55E+00,6.28E+00,9.74E+00,#NUM!
RTTN,1.40E-01,4.56E-01,6.45E-01,-1.55E+00,5.20E+00,8.06E+00,#NUM!
AP000347.1,1.89E-01,5.29E-01,6.45E-01,-1.55E+00,2.53E+00,3.92E+00,#NUM!
CDCA7L,4.08E-04,1.03E-02,6.44E-01,-1.55E+00,2.34E+01,3.63E+01,#NUM!
ABHD16A,4.36E-02,2.43E-01,6.44E-01,-1.55E+00,8.24E+00,1.28E+01,#NUM!
C4orf46,5.25E-02,2.71E-01,6.43E-01,-1.55E+00,4.57E+00,7.10E+00,#NUM!
ENHO,4.17E-01,7.48E-01,6.43E-01,-1.56E+00,8.31E-01,1.29E+00,#NUM!
COL16A1,2.49E-01,5.97E-01,6.43E-01,-1.56E+00,9.41E-01,1.46E+00,#NUM!
RRN3P1,1.08E-01,4.00E-01,6.43E-01,-1.56E+00,2.05E+00,3.18E+00,#NUM!
ZNF764,1.19E-01,4.21E-01,6.43E-01,-1.56E+00,2.90E+00,4.51E+00,#NUM!
THAP2,1.16E-01,4.15E-01,6.43E-01,-1.56E+00,1.77E+00,2.76E+00,#NUM!
FAM83D,1.11E-01,4.05E-01,6.43E-01,-1.56E+00,1.99E+01,3.10E+01,#NUM!
AC093297.2,2.63E-01,6.13E-01,6.42E-01,-1.56E+00,1.45E+00,2.26E+00,#NUM!
FKTN,1.39E-03,2.53E-02,6.42E-01,-1.56E+00,1.14E+01,1.77E+01,#NUM!
SDAD1P2,2.21E-01,5.65E-01,6.42E-01,-1.56E+00,6.90E-01,1.08E+00,#NUM!
PRR14,3.25E-02,2.04E-01,6.42E-01,-1.56E+00,5.28E+00,8.24E+00,#NUM!
BIVM,2.08E-03,3.37E-02,6.41E-01,-1.56E+00,8.69E+00,1.35E+01,#NUM!
DNAL4,5.18E-02,2.69E-01,6.41E-01,-1.56E+00,4.05E+00,6.32E+00,#NUM!
AK1,5.94E-04,1.38E-02,6.40E-01,-1.56E+00,1.03E+01,1.61E+01,#NUM!
UCKL1,8.76E-01,9.70E-01,6.40E-01,-1.56E+00,1.74E+00,2.72E+00,#NUM!
BDH1,1.36E-01,4.51E-01,6.40E-01,-1.56E+00,1.97E+00,3.08E+00,#NUM!
PI4KA,3.50E-02,2.13E-01,6.40E-01,-1.56E+00,4.26E+00,6.66E+00,#NUM!
BRICD5,1.45E-01,4.65E-01,6.40E-01,-1.56E+00,1.33E+00,2.08E+00,#NUM!
PLEKHH1,2.47E-01,5.96E-01,6.39E-01,-1.56E+00,1.86E+00,2.91E+00,#NUM!
FDX1,1.65E-02,1.34E-01,6.39E-01,-1.56E+00,1.29E+01,2.01E+01,#NUM!
PEX11G,1.04E-01,3.93E-01,6.39E-01,-1.57E+00,7.91E-01,1.24E+00,#NUM!
CLBA1,2.98E-01,6.46E-01,6.38E-01,-1.57E+00,1.04E+00,1.63E+00,#NUM!
JAZF1,1.02E-01,3.90E-01,6.38E-01,-1.57E+00,2.09E+00,3.28E+00,#NUM!
LPAR6,1.25E-01,4.31E-01,6.38E-01,-1.57E+00,1.02E+00,1.60E+00,#NUM!
DTWD2,1.34E-01,4.48E-01,6.38E-01,-1.57E+00,2.00E+00,3.13E+00,#NUM!
FLRT2,7.08E-01,9.10E-01,6.38E-01,-1.57E+00,2.12E+00,3.32E+00,#NUM!
UPF3AP2,1.37E-03,2.50E-02,6.38E-01,-1.57E+00,1.94E+01,3.05E+01,#NUM!
TCF4,1.73E-03,2.95E-02,6.38E-01,-1.57E+00,1.37E+01,2.14E+01,#NUM!
PALM2-AKAP2,3.31E-01,6.76E-01,6.38E-01,-1.57E+00,5.31E-01,8.32E-01,#NUM!
AC091042.1,2.67E-01,6.15E-01,6.38E-01,-1.57E+00,1.60E+00,2.51E+00,#NUM!
ATP6V1G1,1.33E-03,2.44E-02,6.38E-01,-1.57E+00,6.42E+01,1.01E+02,#NUM!
PLEKHO1,1.13E-02,1.06E-01,6.37E-01,-1.57E+00,4.39E+00,6.89E+00,#NUM!
NIPSNAP3A,1.50E-02,1.27E-01,6.37E-01,-1.57E+00,3.59E+00,5.64E+00,#NUM!
MT-TN,4.80E-03,6.02E-02,6.37E-01,-1.57E+00,8.66E+02,1.36E+03,#NUM!
FAHD2A,4.35E-02,2.43E-01,6.37E-01,-1.57E+00,8.64E+00,1.36E+01,#NUM!
UAP1L1,8.16E-02,3.48E-01,6.37E-01,-1.57E+00,4.49E+00,7.06E+00,#NUM!
SYT13,8.00E-01,9.46E-01,6.36E-01,-1.57E+00,2.34E+00,3.69E+00,#NUM!
COL6A1,5.03E-02,2.65E-01,6.36E-01,-1.57E+00,6.20E+00,9.75E+00,#NUM!
GTPBP6,7.55E-04,1.64E-02,6.35E-01,-1.57E+00,1.21E+01,1.91E+01,#NUM!
DPY19L3,2.24E-02,1.62E-01,6.35E-01,-1.57E+00,9.57E+00,1.51E+01,#NUM!
EEF1DP1,7.38E-01,9.26E-01,6.35E-01,-1.57E+00,1.31E+00,2.06E+00,#NUM!
HDAC4,7.28E-02,3.26E-01,6.35E-01,-1.58E+00,6.46E+00,1.02E+01,#NUM!
B3GNT5,1.06E-02,1.01E-01,6.35E-01,-1.58E+00,5.88E+00,9.27E+00,#NUM!
PI4KAP1,2.61E-01,6.11E-01,6.35E-01,-1.58E+00,3.19E+00,5.03E+00,#NUM!
CSTB,3.07E-01,6.54E-01,6.34E-01,-1.58E+00,5.97E+01,9.41E+01,#NUM!
TECRP1,5.75E-02,2.87E-01,6.34E-01,-1.58E+00,2.82E+00,4.45E+00,#NUM!
MAN1B1,7.50E-03,8.19E-02,6.34E-01,-1.58E+00,8.70E+00,1.37E+01,#NUM!
DPM2,2.29E-03,3.60E-02,6.34E-01,-1.58E+00,1.24E+01,1.95E+01,#NUM!
RIMS4,6.58E-02,3.08E-01,6.33E-01,-1.58E+00,2.66E+00,4.20E+00,#NUM!
CLHC1,1.61E-01,4.85E-01,6.33E-01,-1.58E+00,1.39E+00,2.19E+00,#NUM!
NPIPB3,1.49E-01,4.69E-01,6.33E-01,-1.58E+00,1.20E+00,1.90E+00,#NUM!
NFIA,4.30E-05,1.83E-03,6.33E-01,-1.58E+00,3.98E+01,6.29E+01,#NUM!
ZNF350,1.46E-01,4.65E-01,6.33E-01,-1.58E+00,1.15E+00,1.81E+00,#NUM!
GOLGA8N,2.33E-01,5.79E-01,6.32E-01,-1.58E+00,1.69E+00,2.67E+00,#NUM!
ASF1B,5.15E-02,2.69E-01,6.32E-01,-1.58E+00,1.55E+01,2.45E+01,#NUM!
ZNF417,2.35E-01,5.80E-01,6.32E-01,-1.58E+00,9.48E-01,1.50E+00,#NUM!
FAM129A,1.10E-01,4.03E-01,6.32E-01,-1.58E+00,2.35E+00,3.72E+00,#NUM!
AC002401.4,2.92E-01,6.41E-01,6.32E-01,-1.58E+00,1.59E+00,2.51E+00,#NUM!
AP001453.2,6.21E-05,2.42E-03,6.31E-01,-1.58E+00,1.39E+01,2.20E+01,#NUM!
GLE1,2.83E-02,1.87E-01,6.31E-01,-1.58E+00,3.43E+01,5.43E+01,#NUM!
SNORA23,7.05E-01,9.10E-01,6.31E-01,-1.58E+00,8.68E-01,1.37E+00,#NUM!
ODF2,2.83E-04,7.80E-03,6.31E-01,-1.58E+00,1.48E+01,2.34E+01,#NUM!
FAF2P1,1.65E-01,4.91E-01,6.31E-01,-1.59E+00,9.40E-01,1.49E+00,#NUM!
TMEM98,7.53E-01,9.30E-01,6.31E-01,-1.59E+00,1.32E+01,2.10E+01,#NUM!
AC008870.2,2.36E-01,5.82E-01,6.30E-01,-1.59E+00,9.36E-01,1.49E+00,#NUM!
ABCB9,7.42E-02,3.29E-01,6.30E-01,-1.59E+00,2.32E+00,3.68E+00,#NUM!
NSMF,1.18E-02,1.08E-01,6.30E-01,-1.59E+00,8.62E+00,1.37E+01,#NUM!
FST,8.88E-02,3.64E-01,6.30E-01,-1.59E+00,1.90E+00,3.02E+00,#NUM!
MAN1B1-DT,1.54E-02,1.29E-01,6.29E-01,-1.59E+00,3.88E+00,6.17E+00,#NUM!
OAF,1.75E-02,1.39E-01,6.29E-01,-1.59E+00,5.00E+00,7.94E+00,#NUM!
TRIM14,3.79E-04,9.73E-03,6.29E-01,-1.59E+00,3.48E+01,5.53E+01,#NUM!
AMER1,3.63E-01,7.06E-01,6.29E-01,-1.59E+00,2.73E+00,4.34E+00,#NUM!
SGSH,4.79E-02,2.57E-01,6.29E-01,-1.59E+00,2.32E+00,3.69E+00,#NUM!
PCYOX1L,1.54E-01,4.77E-01,6.28E-01,-1.59E+00,1.50E+00,2.38E+00,#NUM!
PCED1B,1.37E-01,4.52E-01,6.28E-01,-1.59E+00,1.97E+01,3.15E+01,#NUM!
FGD1,1.46E-01,4.65E-01,6.27E-01,-1.59E+00,1.49E+00,2.37E+00,#NUM!
DCPS,4.47E-02,2.46E-01,6.27E-01,-1.59E+00,3.27E+00,5.22E+00,#NUM!
KLHL25,8.67E-02,3.59E-01,6.26E-01,-1.60E+00,1.82E+00,2.91E+00,#NUM!
CASC15,7.01E-01,9.08E-01,6.26E-01,-1.60E+00,1.30E+01,2.07E+01,#NUM!
POLR3E,2.34E-03,3.66E-02,6.26E-01,-1.60E+00,1.13E+01,1.81E+01,#NUM!
AL049557.1,2.95E-01,6.44E-01,6.26E-01,-1.60E+00,9.64E-01,1.54E+00,#NUM!
AC005261.3,7.51E-02,3.32E-01,6.26E-01,-1.60E+00,2.29E+00,3.66E+00,#NUM!
SPACA9,3.65E-02,2.19E-01,6.26E-01,-1.60E+00,1.86E+00,2.98E+00,#NUM!
AC093525.4,3.03E-01,6.50E-01,6.25E-01,-1.60E+00,1.87E+00,2.99E+00,#NUM!
AL391056.1,1.42E-01,4.59E-01,6.25E-01,-1.60E+00,8.47E-01,1.35E+00,#NUM!
NCS1,4.16E-03,5.49E-02,6.25E-01,-1.60E+00,2.18E+01,3.48E+01,#NUM!
EFHD2,1.95E-05,9.91E-04,6.25E-01,-1.60E+00,3.27E+01,5.24E+01,#NUM!
HSP90AA4P,3.75E-02,2.22E-01,6.25E-01,-1.60E+00,4.31E+00,6.89E+00,#NUM!
DCAKD,3.43E-03,4.79E-02,6.24E-01,-1.60E+00,8.34E+00,1.34E+01,#NUM!
CDKN2D,4.58E-02,2.50E-01,6.24E-01,-1.60E+00,2.13E+00,3.42E+00,#NUM!
E2F2,1.59E-03,2.78E-02,6.24E-01,-1.60E+00,7.52E+00,1.21E+01,#NUM!
SLC46A3,1.96E-02,1.49E-01,6.23E-01,-1.60E+00,3.89E+00,6.24E+00,#NUM!
FAM84B,7.39E-01,9.26E-01,6.23E-01,-1.60E+00,3.27E+00,5.25E+00,#NUM!
GGACT,2.37E-01,5.82E-01,6.23E-01,-1.60E+00,2.00E+00,3.21E+00,#NUM!
PHLDA1,4.57E-03,5.80E-02,6.23E-01,-1.61E+00,5.70E+01,9.16E+01,#NUM!
SLC25A6,1.52E-06,1.41E-04,6.22E-01,-1.61E+00,2.42E+02,3.90E+02,#NUM!
TRIM66,5.25E-02,2.71E-01,6.22E-01,-1.61E+00,3.12E+00,5.01E+00,#NUM!
PPP1R26,9.17E-03,9.29E-02,6.22E-01,-1.61E+00,7.96E+00,1.28E+01,#NUM!
SIX1,1.31E-04,4.31E-03,6.22E-01,-1.61E+00,1.55E+01,2.49E+01,#NUM!
AC069503.1,1.11E-01,4.04E-01,6.22E-01,-1.61E+00,1.22E+00,1.95E+00,#NUM!
LRRC41,2.72E-01,6.21E-01,6.22E-01,-1.61E+00,9.15E+00,1.47E+01,#NUM!
DDN-AS1,7.08E-02,3.22E-01,6.21E-01,-1.61E+00,1.55E+00,2.49E+00,#NUM!
RPL7AP6,1.42E-01,4.59E-01,6.21E-01,-1.61E+00,6.09E+01,9.81E+01,#NUM!
IRX3,1.03E-04,3.50E-03,6.21E-01,-1.61E+00,8.47E+00,1.36E+01,#NUM!
AVPI1,1.67E-05,8.78E-04,6.21E-01,-1.61E+00,3.93E+01,6.33E+01,#NUM!
TMEM268,1.14E-02,1.06E-01,6.20E-01,-1.61E+00,6.94E+00,1.12E+01,#NUM!
HTR7P1,3.21E-01,6.68E-01,6.20E-01,-1.61E+00,9.27E-01,1.49E+00,#NUM!
IFITM2,1.07E-03,2.08E-02,6.20E-01,-1.61E+00,2.28E+01,3.67E+01,#NUM!
RPP25,8.86E-02,3.64E-01,6.20E-01,-1.61E+00,8.35E+00,1.35E+01,#NUM!
ZBTB34,2.11E-01,5.54E-01,6.18E-01,-1.62E+00,1.50E+00,2.43E+00,#NUM!
FAM86DP,1.42E-04,4.64E-03,6.18E-01,-1.62E+00,9.14E+00,1.48E+01,#NUM!
PARD3,1.23E-06,1.19E-04,6.17E-01,-1.62E+00,1.32E+02,2.14E+02,#NUM!
ZNF569,2.30E-02,1.65E-01,6.17E-01,-1.62E+00,4.85E+00,7.86E+00,#NUM!
CDS1,7.58E-02,3.33E-01,6.16E-01,-1.62E+00,2.77E+00,4.49E+00,#NUM!
DOLPP1,9.46E-02,3.76E-01,6.16E-01,-1.62E+00,9.74E+00,1.58E+01,#NUM!
CEP78,1.19E-07,1.82E-05,6.16E-01,-1.62E+00,4.76E+01,7.72E+01,#NUM!
RPS6KA6,6.39E-01,8.77E-01,6.16E-01,-1.62E+00,2.92E+00,4.75E+00,#NUM!
MROH6,1.63E-01,4.86E-01,6.16E-01,-1.62E+00,2.30E+00,3.74E+00,#NUM!
PPATP1,1.37E-01,4.52E-01,6.16E-01,-1.62E+00,1.74E+00,2.83E+00,#NUM!
GTF2IRD1,2.27E-03,3.59E-02,6.15E-01,-1.63E+00,9.21E+00,1.50E+01,#NUM!
SMOX,1.03E-03,2.05E-02,6.15E-01,-1.63E+00,3.14E+01,5.10E+01,#NUM!
RF00100,2.32E-01,5.78E-01,6.15E-01,-1.63E+00,1.52E+00,2.48E+00,#NUM!
KANSL1L,1.32E-01,4.45E-01,6.15E-01,-1.63E+00,1.38E+00,2.25E+00,#NUM!
H6PD,2.57E-03,3.92E-02,6.14E-01,-1.63E+00,8.34E+00,1.36E+01,#NUM!
ABL1,9.53E-04,1.94E-02,6.14E-01,-1.63E+00,1.50E+01,2.45E+01,#NUM!
WDR66,1.62E-01,4.85E-01,6.13E-01,-1.63E+00,6.33E-01,1.03E+00,#NUM!
SLC45A3,1.32E-01,4.45E-01,6.13E-01,-1.63E+00,2.82E+00,4.61E+00,#NUM!
MT-TS2,2.10E-02,1.56E-01,6.12E-01,-1.63E+00,4.95E+01,8.08E+01,#NUM!
AC007878.1,3.92E-01,7.30E-01,6.11E-01,-1.64E+00,1.12E+00,1.83E+00,#NUM!
